slug,name,alternate_name,city,district,category,google_rating,price_level,specialty_coffee,desserts,late_night,family_friendly,group_friendly,work_friendly,parking,phone,hours_summary,editorial_summary,confidence,status,source_notes,sector,canonical_name_ar,canonical_name_en,short_address
lipper-cafe,لبر,Lipper Cafe,بريدة,المركز,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى على شارع عثمان بن عفان,medium,discovered,Web search,cafes,لبر,Lipper Cafe,شارع عثمان بن عفان
kifa-cafe,كِفه,Kifa Cafe,بريدة,المركز,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى على شارع البخاري,medium,discovered,Web search,cafes,كِفه,Kifa Cafe,شارع البخاري
prestel,بريستل,Prestel,بريدة,المركز,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى على شارع البخاري,medium,discovered,Web search,cafes,بريستل,Prestel,شارع البخاري
salil-cafe,سليل,Salil Cafe,بريدة,الريان,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي الريان,medium,discovered,Web search,cafes,سليل,Salil Cafe,حي الريان
liberty-cafe,ليبرتي,Liberty Cafe,بريدة,البساتين,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي البساتين,medium,discovered,Web search,cafes,ليبرتي,Liberty Cafe,حي البساتين
tattle-cafe,تاتل,Tattle Cafe,بريدة,البساتين,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي البساتين,medium,discovered,Web search,cafes,تاتل,Tattle Cafe,حي البساتين
sidra-cafe,سدرة,Sidra Cafe,بريدة,البساتين,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي البساتين,medium,discovered,Web search,cafes,سدرة,Sidra Cafe,حي البساتين
khalla-buraydah,خلة بريدة,Khalla Buraydah Coffee,بريدة,البصيرية,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي البصيرية,medium,discovered,Web search,cafes,خلة بريدة,Khalla Buraydah Coffee,حي البصيرية
jowy-cafe,جوي,Jowy Cafe,بريدة,السلطانة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي السلطانة,medium,discovered,Web search,cafes,جوي,Jowy Cafe,حي السلطانة
fanaa-cafe,فناة,Fanaa Cafe,بريدة,السلطانة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي السلطانة,medium,discovered,Web search,cafes,فناة,Fanaa Cafe,حي السلطانة
katha-cafe,كاثا,Katha Cafe,بريدة,النهضة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي النهضة,medium,discovered,Web search,cafes,كاثا,Katha Cafe,حي النهضة
bid-cafe,بيد,Bid Cafe,بريدة,النهضة,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,yes,unknown,,مفتوح معظم الساعات,مقهى في حي النهضة,medium,discovered,Web search,cafes,بيد,Bid Cafe,حي النهضة
kufa-restaurant,كوفا,Kufa Restaurant,بريدة,الصفراء,مطعم / كافيه,unknown,$$,yes,yes,yes,yes,yes,unknown,yes,,مفتوح معظم الساعات,مطعم مع خدمة القهوة,medium,discovered,Web search,cafes,كوفا,Kufa Restaurant,حي الصفراء
basket-flowers,سلة الزهور,Basket Flowers,بريدة,الصفراء,كافيه / مقهى,unknown,$$,yes,yes,yes,yes,yes,unknown,unknown,,مفتوح معظم الساعات,مقهى في حي الصفراء,medium,discovered,Web search,cafes,سلة الزهور,Basket Flowers,حي الصفراء
