"slug","name","alternate_name","city","district","category","google_rating","google_reviews_count","price_level","work_friendly","group_friendly","late_night","family_friendly","indoor_seating","outdoor_seating","parking","specialty_coffee","desserts","official_instagram","phone","hours_summary","editorial_summary","confidence","status","last_verified_at","source_notes","sector","canonical_name_ar","canonical_name_en","short_address","branch_group","branch_label","reference_url","quietness","crowd_level","place_personality","best_visit_time","why_choose_it","not_for_whom","duplicate_of","archive_reason"
"glo-cafe","قلو كافيه","Glo Cafe","بريدة","غير متحقق","مقهى","4.1","1245","20–40 ر.س.","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح حتى 3 ص","خيار معروف ومفيد للدليل من زاوية الانتشار أكثر من التميز الحاد.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","قلو كافيه","Glo Cafe","طريق أبو بكر","glo-cafe","abu-bakr","https://www.google.com/maps/place/%D9%82%D9%84%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f57cc4c4dfdc7:0x5a75390f72517126!8m2!3d26.4075755!4d43.9334796!16s%2Fg%2F11scbt47jv!19sChIJx_1NTMxXfxURJnFRcg85dVo?authuser=0&hl=ar&rclk=1","medium","high","حيوي ومعروف","أول الليل","كثافة مراجعات مرتفعة على محور مهم.","من يطلب أعلى تميز نوعي فقط.","",""
"oryx-coffee","أوريكس كافية","Oryx Coffee","بريدة","غير متحقق","كافيه","4.1","633","غير متحقق","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","yes","","","مفتوح حتى 4 ص","كافيه محلي بوزن متوسط وسمعة تشغيلية مقبولة.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","أوريكس كافية","Oryx Coffee","طريق الملك عبدالله","oryx-coffee","king-abdullah","https://www.google.com/maps/place/%D8%A7%D9%88%D8%B1%D9%8A%D9%83%D8%B3+%D9%83%D8%A7%D9%81%D9%8A%D8%A9+Oryx+Coffee%E2%80%AD/data=!4m7!3m6!1s0x157f515c85ee01c1:0x8b2a380bd91bb4dc!8m2!3d26.414774!4d43.9363211!16s%2Fg%2F11ksq2nzcm!19sChIJwQHuhVxRfxUR3LQb2Qs4Kos?authuser=0&hl=ar&rclk=1","medium","medium","عملي","المساء المبكر","حضور محلي متوسط جيد.","من يريد أعلى ثقة تشغيلية الآن.","",""
"sum-cafe","sum cafe","غير متحقق","بريدة","غير متحقق","مقهى","4.7","568","غير متحقق","unknown","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح حتى 3 ص","واعد لكن يحتاج جولة تحقق إضافية قبل رفع الثقة.","low","needs_review","2026-03-10","Google Maps only; identity still weak | Cleaning pass: normalized garbled text where confidently recoverable","cafes","sum cafe","sum cafe","غير متحقق","sum-cafe","unknown","https://www.google.com/maps/place/sum+cafe/data=!4m7!3m6!1s0x157f57cf8fed9e99:0xa538023df66a969f!8m2!3d26.4066347!4d43.9000909!16s%2Fg%2F11mt6tvz4f!19sChIJmZ7tj89XfxURn5Zq9j0COKU?authuser=0&hl=ar&rclk=1","unknown","unknown","غير متحقق","غير متحقق","التقييم المرتفع فقط.","أي اعتماد تشغيلي نهائي حاليًا.","",""
"ratel-cafe","رتل كافيه","Ratel Cafe","بريدة","غير متحقق","كافيه","4.3","567","20–40 ر.س.","partial","yes","partial","unknown","unknown","unknown","unknown","yes","unknown","","","مفتوح حتى 12 ص","مكان مرتب نسبيًا ويميل للهدوء أكثر من الأماكن الجماهيرية الصاخبة.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","رتل كافيه","Ratel Cafe","طريق الملك خالد","ratel-cafe","king-khalid","https://www.google.com/maps/place/%D8%B1%D8%AA%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f592b4cc393cf:0x580b2068b9aeb14!8m2!3d26.3653686!4d43.9664805!16s%2Fg%2F11h6dj8lv6!19sChIJz5PDTCtZfxURFOuaiwaygAU?authuser=0&hl=ar&rclk=1","high","medium","هادئ نسبيًا","العصر أو المساء المبكر","يميل للهدوء والقهوة المختصة نسبيًا.","من يريد سهرًا متأخرًا جدًا.","",""
"coffee-title","عنوان القهوة","غير متحقق","بريدة","غير متحقق","كافيه","4.5","490","1–20 ر.س.","partial","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح على مدار الساعة","خيار عملي مرن أكثر من كونه وجهة بهوية متخصصة.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","عنوان القهوة","Coffee Title","طريق علي بن أبي طالب","coffee-title","ali-bin-abi-talib","https://www.google.com/maps/place/%D8%B9%D9%86%D9%88%D8%A7%D9%86+%D8%A7%D9%84%D9%82%D9%87%D9%88%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f590030ffe0b3:0xc4026a318bba77c8!8m2!3d26.3865965!4d43.9631589!16s%2Fg%2F11vry4k7zn!19sChIJs-D_MABZfxURyHe6izFqAsQ?authuser=0&hl=ar&rclk=1","medium","medium","عملي دائم","حسب الحاجة","تشغيل 24 ساعة وسعر ظاهر.","من يريد هوية متخصصة جدًا.","",""
"hanim-cafe","هانم","HANIM","بريدة","غير متحقق","كافيه","4.6","335","20–40 ر.س.","partial","yes","yes","unknown","unknown","unknown","unknown","unknown","unknown","","","مفتوح حتى 3 ص","مكان بطابع مختلف نسبيًا وحضور جيد في المراجعات.","medium","partially_verified","2026-03-10","Google Maps direct URL | Cleaning pass: normalized garbled text where confidently recoverable","cafes","هانم","HANIM","طريق عمر بن الخطاب","hanim-cafe","omar-bin-khattab","https://www.google.com/maps/place/%D9%87%D8%A7%D9%86%D9%85+%7C+HANIM%E2%80%AD/data=!4m7!3m6!1s0x157f574386d15d1f:0xa588ed1360522aba!8m2!3d26.4108543!4d43.9165666!16s%2Fg%2F11xdl2rq2h!19sChIJH13RhkNXfxURuipSYBPtiKU?authuser=0&hl=ar&rclk=1","medium","medium","متنوع","المساء","يضيف تنوعًا تحريريًا.","من يريد سجلًا مكتمل التحقق.","",""
"pantry-cafe","بانتري","Pantry","بريدة","غير متحقق","كافيه","3.7","597","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","بانتري","Pantry","طريق أبو بكر الصديق","pantry-cafe","abu-bakr","https://www.google.com/maps/place/%D8%A8%D8%A7%D9%86%D8%AA%D8%B1%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x157f572214f1c1db:0x64a02c6aa8c8315!8m2!3d26.3963754!4d43.9391959!16s%2Fg%2F11x1vr36qb!19sChIJ28HxFCJXfxURFYOMqsYCSgY?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"creed-cafe","كريد","Creed","بريدة","غير متحقق","كافيه","4.3","528","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","كريد","Creed","طريق عثمان بن عفان","creed-cafe","uthman-bin-affan","https://www.google.com/maps/place/%D9%83%D8%B1%D9%8A%D8%AF%E2%80%AD/data=!4m7!3m6!1s0x157f5733c86e97a7:0x4caaa08ac284e0cc!8m2!3d26.4095547!4d43.926831!16s%2Fg%2F11p5bq102w!19sChIJp5duyDNXfxURzOCEwoqgqkw?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"canto-ali-bin-abi-talib","كانتو للقهوة المختصة","Canto Specialty Coffee","بريدة","غير متحقق","مقهى / قهوة مختصة","4.7","513","1–20 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","فرع علي بن أبي طالب محتفظ به كسجل مستقل مؤقتًا إلى أن يُحسم الربط الرسمي بين فروع كانتو داخل المدينة.","medium","branch_conflict","","Expansion Round 1 discovery queue | Cleaning pass 2: retained as branch_conflict pending official branch map","cafes","كانتو للقهوة المختصة","Canto Specialty Coffee","طريق علي بن أبي طالب","canto-buraidah","ali-bin-abi-talib","https://www.google.com/maps/place/%D9%83%D8%A7%D9%86%D8%AA%D9%88+%D9%84%D9%84%D9%82%D9%87%D9%88%D8%A9+%D8%A7%D9%84%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f5999fed1d213:0x532672ed97c5da91!8m2!3d26.3790737!4d43.9520723!16s%2Fg%2F11pf5klztx!19sChIJE9LR_plZfxURkdrFl-1yJlM?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"a-plus-cafe","أي بلس","A Plus","بريدة","غير متحقق","كافيه","4.5","504","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","أي بلس","A Plus","طريق أبو بكر الصديق","a-plus-cafe","abu-bakr","https://www.google.com/maps/place/%D8%A7%D9%8A+%D8%A8%D9%84%D8%B3+A+Plus%E2%80%AD/data=!4m7!3m6!1s0x157f570040c98843:0x9d0e567d1e51c1c!8m2!3d26.4033887!4d43.9358201!16s%2Fg%2F11w3pfpfpn!19sChIJQ4jJQABXfxURHBzl0Wfl0Ak?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"md-cafe","إم دي","MD","بريدة","غير متحقق","كافيه","4.1","485","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","إم دي","MD","طريق الملك عبدالله","md-cafe","king-abdullah","https://www.google.com/maps/place/%D8%A5%D9%85+%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x157f59cc6a9c1b61:0x20205d0abe2577be!8m2!3d26.361144!4d43.9632749!16s%2Fg%2F11rp_g7_1_!19sChIJYRucasxZfxURvnclvgpdICA?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"ripple-cafe","ريبل كافية","Ripple Cafe","بريدة","غير متحقق","كافيه","4.3","468","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ريبل كافية","Ripple Cafe","طريق السلام","ripple-cafe","al-salam","https://www.google.com/maps/place/%D8%B1%D9%8A%D8%A8%D9%84+%D9%83%D8%A7%D9%81%D9%8A%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x157f57a914186c61:0x35d0cc6f6b439711!8m2!3d26.3485353!4d43.9317691!16s%2Fg%2F11sk0z1nrp!19sChIJYWwYFKlXfxUREZdDa2_M0DU?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"ramadi-hookah-lounge","لاونج هوكا رمادي","Ramadi Hookah Lounge","بريدة","غير متحقق","لاونج","4.2","444","40–60 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","??? ????? ?????? ???? ?????? ????? ?? branch_conflict ?? Quick Cleaning Round 1 ???? ???? ????? ?????? ????? ?? ???? ?????? ???.","medium","profiled","","Expansion Round 1; related Ramadi brand but distinct lounge record | Cleaning pass: normalized garbled text where confidently recoverable","cafes","لاونج هوكا رمادي","Ramadi Hookah Lounge","طريق عثمان بن عفان","ramadi-lounge","hookah-lounge","https://www.google.com/maps/place/%D9%84%D8%A7%D9%88%D9%86%D8%AC+%D9%87%D9%88%D9%83%D8%A7+%D8%B1%D9%85%D8%A7%D8%AF%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x157f570033f044b5:0x88b7c8fbe839b94!8m2!3d26.4072018!4d43.9277853!16s%2Fg%2F11vk7bw0j0!19sChIJtUTwMwBXfxURlJuDvo98iwg?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"lipper-cafe","ليبر كافية","LIPPER CAFFEE","بريدة","غير متحقق","كافيه","3.6","403","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ليبر كافية","LIPPER CAFFEE","طريق عثمان بن عفان","lipper-cafe","uthman-bin-affan","https://www.google.com/maps/place/%D9%84%D9%8A%D8%A8%D8%B1+%D9%83%D8%A7%D9%81%D9%8A%D8%A9+%2F+LIPPER+CAFFEE%E2%80%AD/data=!4m7!3m6!1s0x157f57f4ffede843:0x4e98566faea60e5a!8m2!3d26.4103143!4d43.9258059!16s%2Fg%2F11vm1yqt2l!19sChIJQ-jt__RXfxURWg6mrm9WmE4?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"khallah-cafe","خلّة كافيه","Khallah Cafe","بريدة","التغيرة","كافيه","4.5","321","1–20 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","خلّة كافيه","Khallah Cafe","التغيرة","khallah-cafe","taghirah","https://www.google.com/maps/place/%D8%AE%D9%84%D9%91%D8%A9+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x1581e3e624e7f447:0xc544ecd93c306af!8m2!3d26.3274555!4d43.9541296!16s%2Fg%2F11t4pp5sm_!19sChIJR_TnJObjgRURrwbDk81OVAw?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"kanan-cafe","كنن كافيه","Kanan Cafe","بريدة","غير متحقق","كافيه","4.2","291","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","كنن كافيه","Kanan Cafe","طريق أبو بكر الصديق","kanan-cafe","abu-bakr","https://www.google.com/maps/place/%D9%83%D9%86%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f5718ea280c69:0x968dd6657a528514!8m2!3d26.4032649!4d43.9355472!16s%2Fg%2F11yl3x41fd!19sChIJaQwo6hhXfxURFIVSemXWjZY?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
"leon-cafe","ليون كافيه","Leon Cafe","بريدة","غير متحقق","كافيه","4.3","271","20–40 ر.س.","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","unknown","","","","Coverage-first record added in Expansion Round 1; awaits enrichment later.","medium","profiled","","Expansion Round 1 from Google Maps discovery queue | Cleaning pass: normalized garbled text where confidently recoverable","cafes","ليون كافيه","Leon Cafe","طريق الملك عبد العزيز","leon-cafe","king-abdulaziz","https://www.google.com/maps/place/%D9%84%D9%8A%D9%88%D9%86+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x157f59dbe6a8e6a9:0x39782b03831f7881!8m2!3d26.3542395!4d43.954081!16s%2Fg%2F11rzgsg1kv!19sChIJqeao5ttZfxURgXgfgwMreDk?authuser=0&hl=ar&rclk=1","unknown","unknown","","","","","",""
